State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Unhealthy_Days,Major_Depression,Recent_Drug_Use,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury,,
01,Geneva,Alabama,AL,25735,45,4529,5893,15415,3886,22595,2779,180,51,515,75,253,6,384,313,0,0,8879,0,0,2419,5868,3757,54558,17577,8956,16265,3423,6562,,
01,Greene,Alabama,AL,9661,15,2406,2705,5594,1159,1923,7700,10,19,68,73,102,0,51,45,0,0,0,0,0,686,3806,1633,14598,4975,4048,5140,1449,2502,,
01,Hale,Alabama,AL,18316,28,3773,4909,11099,1996,7381,10843,18,37,165,73,197,7,185,167,0,0,0,0,0,952,5403,3920,33848,11301,7400,15147,1282,4524,,
01,Henry,Alabama,AL,16610,30,2707,3937,10032,2309,11228,5265,33,0,349,75,160,6,158,131,0,0,0,0,0,1329,5216,2857,30197,10431,5282,13072,1478,2624,,
01,Houston,Alabama,AL,94249,162,14420,24410,56738,11404,68048,24410,377,660,1508,76,853,7,4957,4171,31008,73231,27803,32045,23562,8294,27332,15834,144012,57775,21583,52591,7163,18002,,
01,Jackson,Alabama,AL,53650,50,7779,12715,33102,7028,49680,2039,858,161,858,75,551,7,1650,1340,18241,44154,15773,15666,19851,3273,14164,10569,100433,37179,17275,34229,6706,14807,,
01,Jefferson,Alabama,AL,657229,591,94641,165622,403539,76896,373306,270778,1314,7230,15116,74,6799,6,243142,208158,190596,519868,178109,209656,153792,63751,178766,144590,956925,391708,113701,530384,74267,189282,,
01,Lamar,Alabama,AL,14962,25,2409,3366,9037,2259,13182,1706,30,15,224,74,156,0,130,105,0,0,0,0,0,479,3576,3232,25031,9710,6688,10713,2050,4459,,
01,Lauderdale,Alabama,AL,87691,131,13680,20081,53667,12540,77957,8506,263,351,1052,76,799,7,4461,3806,22624,67610,20870,30429,18503,5875,22624,16223,116980,53053,19555,62699,11049,19467,,
01,Lawrence,Alabama,AL,34605,50,4983,8513,21697,3980,27511,4187,1869,35,484,74,365,8,680,571,11039,29483,6886,0,9862,3184,6610,4949,71875,20452,12112,26992,3772,9343,,
01,Lee,Alabama,AL,123254,202,18611,30937,81964,9367,91331,28348,247,2219,1972,75,1212,6,8624,9503,31923,92317,26746,30197,33402,9614,35744,22186,202999,67913,23542,92564,12202,21939,,
