State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Unhealthy_Days,Major_Depression,Recent_Drug_Use,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury
17,Moultrie,Illinois,IL,14510,43,8.4,24.6,57.7,15.2,99.2,0.3,0.1,0.1,0.6,77.1,934.6,-1111.1,793,860,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.5,35.2,19.5,182.6,53.8,15.8,88.5,12,20.2
17,Ogle,Illinois,IL,54290,72,8,25.5,60.5,11.8,97.7,0.7,0.3,0.5,7.6,78,823.2,4.9,2941,3239,20,80.6,27.2,24.1,23.4,7.9,19.3,21.6,137.9,59.2,20.7,65.1,11.2,18
17,Peoria,Illinois,IL,182328,294,13.4,26.7,59.4,11.7,78.7,16.9,0.2,2.3,2.6,77.2,853.6,4.9,9711,11026,28.7,84.8,24.1,23.5,24.1,7.4,21.2,22.1,152.4,66.1,10.1,77.9,9.9,21.8
17,Perry,Illinois,IL,22815,52,13.3,22.5,62.2,12.8,90.4,8.5,0.3,0.4,2.1,76.6,907.9,6.6,1283,1412,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,12.6,37.3,24.1,246.6,58.2,20.8,49.5,14.7,19.2
17,Piatt,Illinois,IL,16680,38,6.1,24,59.9,13.4,98.7,0.4,0,0.4,0.7,77.7,784.8,-1111.1,920,969,-1111.1,-1111.1,11.5,-1111.1,-1111.1,6.8,20.5,23.2,171.4,55.1,21.4,51.6,-1111.1,16.9
17,Pike,Illinois,IL,17099,21,12.5,22.9,58,15.3,97.8,1.5,0.1,0.3,0.6,77.3,841.2,4.9,955,1025,-1111.1,-1111.1,-1111.1,-1111.1,18.6,9.8,28.6,25.7,158.7,60.6,24,53.9,13.1,23.6
17,Pope,Illinois,IL,4211,11,14,20.8,59.5,16.6,93.5,4.9,0.7,0.3,1.1,74.9,782.5,-1111.1,243,268,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,25.3,169.1,55,-1111.1,55.8,-1111.1,32.7
17,Pulaski,Illinois,IL,6794,34,19.8,27.6,57.1,12.6,67.6,30.9,0,1,1.5,75.5,1099.9,-1111.1,359,415,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,29.5,28.3,244.9,70.7,26.6,75.9,-1111.1,23.3
17,Putnam,Illinois,IL,6094,38,6.5,23.4,60.1,13.9,98.5,0.7,0.3,0.4,3.8,78,756.3,-1111.1,339,359,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,46.7,26.3,151.1,54.2,27.1,48.4,-1111.1,17.3
17,Randolph,Illinois,IL,33122,57,11.4,22,63,12.3,89.9,9.2,0.1,0.3,1.7,76.1,915.7,3.9,1871,2061,24.9,-1111.1,18.2,-1111.1,17.1,4.1,27.1,22.5,197.2,56.1,25.7,67.1,14.4,27
17,Richland,Illinois,IL,15798,44,12,24.1,57.4,15.7,98.5,0.5,0.1,0.6,0.8,76.8,871.1,-1111.1,871,926,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.8,24.1,23.7,212.1,58.9,21.3,57.6,10.4,22.3
17,Rock Island,Illinois,IL,147808,346,11.6,24.7,59.8,12.8,89.1,7.8,0.3,1.3,10,77.3,810.7,4.9,8078,8843,24.3,76.1,26.1,27.9,25.5,8.5,27.9,16.5,167.2,54.9,11,59.4,11.7,17.1
17,St. Clair,Illinois,IL,260067,392,14.5,27.5,59.9,10.8,67.8,29.5,0.3,1.2,2.6,74.6,981.7,6.5,13727,15710,30.9,81,29.7,31.6,22.7,9.2,27.2,23.5,182.4,69.6,16.2,56.4,9.3,22.8
17,Saline,Illinois,IL,26072,68,15,24.7,56.8,15.5,94.3,4.5,0.3,0.2,1.1,74.5,1081.9,-1111.1,1431,1548,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8,18.8,24.8,232.6,88.5,22.6,80.6,12.1,30.8
17,Sangamon,Illinois,IL,192789,222,10.1,25,61.4,11.5,86.8,10.4,0.2,1.4,1.2,76.8,855.9,5.6,10486,11258,25.5,73.4,24,27.9,19.8,11,30.2,22.8,148.3,60,13.6,56.5,10.9,17.8
17,Schuyler,Illinois,IL,7073,16,9.5,22.4,59,15.6,98.9,0.8,0,0.2,0.8,78.8,883.1,-1111.1,397,408,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,31.3,23.8,309.8,65.4,17.6,63,15.3,19.3
17,Scott,Illinois,IL,5412,22,9.6,23.9,58.8,14.2,99.5,0,0.2,0.2,0.2,77.3,851.7,-1111.1,299,314,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28.6,262.8,53.4,-1111.1,44.8,-1111.1,-1111.1
17,Shelby,Illinois,IL,22322,29,9.4,24.3,57.6,15.1,99.2,0.2,0.1,0.2,0.5,78,843.4,6.9,1227,1306,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4.3,29.3,20.8,198.3,48.4,25.4,67.3,7.8,20.2
17,Stark,Illinois,IL,6169,21,9.2,24,56.7,15.7,99.2,0.1,0.1,0.2,1.1,78,907,-1111.1,340,356,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,22.5,146.5,63.9,24.3,75.3,17.8,30.5
17,Stephenson,Illinois,IL,47965,85,10.2,25,57.5,14.5,89.6,7.9,0.2,0.9,2.1,78.1,807.7,3.4,2614,2788,18.3,82.5,22,24.9,12.7,8.7,20.9,17.1,138.6,51.9,15.5,55.6,9.2,17.8
17,Tazewell,Illinois,IL,129999,200,8.1,23.9,60.7,13.2,97.5,1.1,0.2,0.6,1.3,78,832.6,6.2,7173,7654,23.4,82.3,21.3,23.6,28.2,6.1,24.6,21.6,151.6,57.6,9.9,62,15.4,16.9
17,Union,Illinois,IL,18202,44,13.7,23.2,59.7,14.2,97.6,1,0.5,0.4,3.5,74.6,1009.3,3.8,1014,1077,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10,22,26.5,222.6,69.2,25.3,68,12.5,25.1
17,Vermilion,Illinois,IL,82344,92,14,25.5,58.3,13.7,87.1,11.2,0.2,0.6,3.4,75.6,948.7,7.1,4451,4780,31.2,84.3,31.8,29.2,26,9,23.8,21.8,187.9,75.7,21.2,63.6,9.9,21.3
17,Wabash,Illinois,IL,12570,56,11.4,23.7,59.5,13.5,98.1,0.5,0.1,0.6,0.9,76,843.7,-1111.1,697,747,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28.3,26.2,163.4,68.5,17.4,54.9,-1111.1,17.2
17,Warren,Illinois,IL,17558,32,11,24.3,59.2,13.9,96.5,2,0.2,0.7,4.5,77.6,869.1,5.1,969,1124,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.7,27.3,29.9,232.4,54,14.9,75.8,8.3,11
17,Washington,Illinois,IL,14922,27,7.2,24.4,59.9,13.1,98.7,0.4,0.2,0.2,1,77.3,847.6,-1111.1,820,908,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.4,28.1,26.1,283.7,44.8,36.8,60.6,9.5,17.9
17,Wayne,Illinois,IL,16796,24,12,23.3,57.9,15.7,98.6,0.4,0.2,0.4,0.6,77,845.5,-1111.1,935,983,-1111.1,-1111.1,-1111.1,-1111.1,13.5,7.1,23.9,17.6,228,62.4,18.8,56.7,13.9,17.3
17,White,Illinois,IL,15284,31,12,20.8,58.5,16.8,98.7,0.4,0.2,0.1,0.7,75.8,930.1,-1111.1,876,909,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.3,17.7,25.9,288.5,66.2,22.7,44,10.4,24.9
17,Whiteside,Illinois,IL,59863,87,9.4,24.8,58.5,14,97.1,1.3,0.3,0.5,9.4,78,804.5,5,3268,3495,22.6,84.6,23.4,-1111.1,27.2,8.3,27.1,19.5,204.2,55.6,11.6,60.9,9.5,19.7
17,Will,Illinois,IL,642813,768,6.7,29.1,62.8,7.1,84.2,10.7,0.3,3.5,12.7,77.8,814.4,5.6,33167,38442,23.9,83.1,23.6,22,23.2,5.2,26.4,21.2,197.4,55.1,12.3,53.5,9.2,16.5
17,Williamson,Illinois,IL,63617,150,13.6,22.8,60.8,13.9,95,3.1,0.3,0.6,1.6,75.5,920.6,6.6,3557,3783,25,-1111.1,24.5,25.5,20.9,6.9,31.5,24.2,168.8,61.7,21.1,55.5,11.9,20.5
17,Winnebago,Illinois,IL,288695,562,12.3,26.7,60.6,10.9,85,11,0.4,2.1,9.5,76.8,851,6.8,15380,16951,25.3,76.3,25.8,27.5,26.2,9.3,25.9,17.6,170.2,62.2,12.5,58.6,10.1,24.6
17,Woodford,Illinois,IL,37448,71,6,25.5,60.4,11.7,98.3,0.5,0.1,0.5,1,78.8,757.1,5.5,2029,2319,12.8,-1111.1,27.8,20.1,-1111.1,7.9,19.5,16.7,153.2,38.1,13.5,71.5,7.1,14.4
18,Adams,Indiana,IN,33849,100,9.9,31.9,54.7,10.8,99,0.2,0.1,0.3,3.5,78.8,761.2,5.3,2098,1449,31.7,82.8,37.1,-1111.1,15.4,6.2,26.2,21,142.5,38.4,17.9,69.3,6.4,16.9
18,Allen,Indiana,IN,344006,523,10.2,28.9,59.8,9.6,84.4,11.7,0.4,1.8,5.2,77.3,831.5,5.6,22202,14696,21.4,79.6,23.8,25.4,23.6,5.9,26.6,22.8,148.8,54.7,11.4,51.5,13.2,22.8
18,Bartholomew,Indiana,IN,73540,181,8.3,26.9,60.2,11.5,94.4,2,0.2,2.6,3.4,76.4,906.4,5.2,4873,3039,22.9,80.8,21.1,20.2,23,5.2,27,18.3,173.1,56.8,18.3,67.7,12.7,19.1
18,Benton,Indiana,IN,9039,22,7.5,27.7,56.7,12.7,98.2,0.5,0,0.1,2.7,77,801.7,3.7,594,379,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6,17.9,21.5,170.1,64.8,20.6,62.1,-1111.1,17.9
18,Blackford,Indiana,IN,13849,84,9.2,24.4,59.3,13.7,98.5,0.2,0.4,0.2,0.6,76,930.2,4.7,947,580,-1111.1,-1111.1,18.4,-1111.1,-1111.1,10,36.1,25.9,247,53.6,17.8,48.4,10.2,15.9
18,Boone,Indiana,IN,52061,123,5.8,27.4,61.3,9.8,97.2,0.7,0.2,1.2,1.7,77.3,905,5.4,3426,2244,23.7,74.4,23.1,29.9,20.2,6.1,30.1,19.8,148.5,55.6,16.7,54.5,14.9,18
